B02,B03,B04,B08,B11,B12,NDVI,NDWI,BSI,cloud_cover,manganese_label,elevation_m,slope_deg,terrain_relief_m
0.2086,0.252,0.3158,0.4037,0.4989,0.4048,0.122168,-0.231356,0.141836,0.0,0,281.229858,0.542911,4.509949
0.1482,0.166,0.1817,0.2843,0.3124,0.2643,0.220172,-0.262714,0.06648,0.0,0,286.458923,0.468514,9.554108
0.1833,0.216,0.2561,0.3517,0.528,0.4343,0.157289,-0.239035,0.188841,0.0,0,673.410828,1.678561,77.221863
0.1681,0.1953,0.2304,0.3362,0.4225,0.3524,0.186728,-0.265099,0.128413,0.0,0,281.075989,1.01911,6.954285
0.1173,0.1538,0.1574,0.3091,0.3248,0.2433,0.325188,-0.335494,0.061413,7e-06,0,353.018066,0.932566,8.748871
0.1736,0.2072,0.2201,0.3639,0.3758,0.3257,0.246233,-0.274383,0.051526,0.0,1,324.967255,3.039706,56.843536
0.2108,0.2456,0.2964,0.3763,0.5275,0.4465,0.118775,-0.210162,0.167824,0.0,0,270.725128,0.215366,8.667267
0.1785,0.2198,0.2515,0.428,0.4585,0.3682,0.25975,-0.321395,0.078618,0.0,1,325.546173,0.507089,61.001556
0.1507,0.1768,0.2067,0.3003,0.4403,0.3363,0.184615,-0.258856,0.178506,0.0,0,572.025696,17.494483,50.040894
0.1583,0.1783,0.1953,0.2753,0.3379,0.2891,0.169996,-0.213845,0.10302,0.0,0,335.712189,3.170278,12.634277
0.2213,0.2779,0.3296,0.4055,0.5457,0.4704,0.103251,-0.186713,0.165435,0.0,0,257.676666,1.691944,11.087158
0.151,0.1886,0.251,0.3518,0.4371,0.3148,0.16722,-0.301999,0.155597,7e-06,0,441.798187,3.518851,70.097565
0.1599,0.1817,0.2316,0.3387,0.4459,0.3466,0.187796,-0.301691,0.152113,0.0,0,591.152893,5.904652,23.369812
0.1698,0.2033,0.2372,0.2962,0.3655,0.3127,0.110611,-0.185986,0.127912,0.0,0,254.600204,1.062267,6.999985
0.1401,0.1559,0.1753,0.2332,0.2809,0.2322,0.141738,-0.198664,0.09994,0.0,1,636.23468,2.479592,41.43042
0.1582,0.1779,0.2091,0.2537,0.3613,0.3283,0.09637,-0.175626,0.161356,0.0,0,295.534454,1.089041,5.169708
0.1477,0.1724,0.2075,0.2589,0.3658,0.3092,0.110206,-0.200556,0.170119,0.0,0,555.349487,1.028368,29.387817
0.1583,0.1807,0.2135,0.2856,0.3707,0.3043,0.14446,-0.224962,0.136465,0.0,1,651.577454,9.446494,60.870178
0.1361,0.169,0.1627,0.3308,0.3145,0.243,0.340628,-0.323729,0.01091,0.0,0,444.774323,23.278383,337.364563
0.229,0.2654,0.3283,0.4069,0.5144,0.4269,0.10691,-0.210472,0.139862,0.0,1,311.730591,0.770155,9.02774
0.1974,0.2407,0.266,0.4325,0.4489,0.3547,0.238368,-0.284908,0.063206,0.0,0,499.384399,10.54665,36.221924
0.1803,0.2199,0.2552,0.3231,0.4253,0.3556,0.117413,-0.190055,0.14959,0.0,1,625.57135,1.244971,40.743042
0.1842,0.2157,0.2581,0.3612,0.4549,0.357,0.166478,-0.25221,0.133185,0.0,1,624.344116,0.683935,47.913086
0.1903,0.2345,0.2866,0.3979,0.4968,0.3911,0.1626,-0.258381,0.142316,0.0,1,615.211243,0.776902,21.358215
0.1757,0.2067,0.2389,0.3148,0.3684,0.2986,0.137078,-0.207287,0.106395,0.0,0,316.241058,0.253962,5.404297
0.1355,0.1651,0.1577,0.3944,0.2747,0.2091,0.428727,-0.40983,-0.10132,0.0,0,315.577789,1.07703,19.143372
